sku,name,type,category,subcat,active
P7031803CR,The Cedar Reserve - Wild Strawberry - PG - 03mg,Product,Labelled,Freebase,1
P7031806CR,The Cedar Reserve - Wild Strawberry - PG - 06mg,Product,Labelled,Freebase,1
P7031812CR,The Cedar Reserve - Wild Strawberry - PG - 12mg,Product,Labelled,Freebase,1
P7031818CR,The Cedar Reserve - Wild Strawberry - PG - 18mg,Product,Labelled,Freebase,1
P1000009NS,Nicshots - 100% PG Nicotine Shot - PG - 09mg,Product,Labelled,Freebase,1
P1000018NS,Nicshots - 100% PG Nicotine Shot - PG - 18mg,Product,Labelled,Freebase,1
V1000009NS,Nicshots - 100% VG Nicotine Shot - VG - 09mg,Product,Labelled,Freebase,1
V1000015NS,Nicshots - 100% VG Nicotine Shot - VG - 15mg,Product,Labelled,Freebase,1
V1000018NS,Nicshots - 100% VG Nicotine Shot - VG - 18mg,Product,Labelled,Freebase,1
V1000020NS,Nicshots - 100% VG Nicotine Shot - VG - 20mg,Product,Labelled,Freebase,1
V7000018NS,Nicshots - 70% VG Nicotine Shot - VG - 18mg,Product,Labelled,Freebase,1
P5000009NS,Nicshots - 50/50 Nicotine Shot - PG - 09mg,Product,Labelled,Freebase,1
P5000018NS,Nicshots - 50/50 Nicotine Shot - PG - 18mg,Product,Labelled,Freebase,1
P1000000NS,Nicshots - 100% PG Nicotine Free Shot - PG - 00mg,Product,Labelled,Freebase,1
V1000000NS,Nicshots - 100% VG Nicotine Free Shot - VG - 00mg,Product,Labelled,Freebase,1
V7064818NS,Nicshots - Sub Zero Nicotine Shot - VG - 18mg,Product,Labelled,Freebase,1
V7067418NS,Nicshots - Absolute Zero Nicotine Shot - VG - 18mg,Product,Labelled,Freebase,1
V7072618NS,Nicshots - 70% VG Nicotine Salt Shot - VG - 18mg,Product,Labelled,Freebase,1
V7072620NS,Nicshots - 70% VG Nicotine Salt Shot - VG - 20mg,Product,Labelled,Freebase,1
V1072618NS,Nicshots - Max VG Nicotine Salt Shot - VG - 18mg,Product,Labelled,Freebase,1
P5076420FS,Fifty-Fifty Smooth - Banana cream Nicotine Salt - PG - 20mg,Product,Labelled,Nicotine Salt,1
P5076920FS,Fifty-Fifty Smooth - Forest fruits Nicotine Salt - PG - 20mg,Product,Labelled,Nicotine Salt,1
P5076820FS,Fifty-Fifty Smooth - Lemon Tart Nicotine Salt - PG - 20mg,Product,Labelled,Nicotine Salt,1
